,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor
3454,BIOL,141-4,Foundations of Modern Biol I,TuTh,16:00:00,17:15:00,Edward Nam
3455,BIOL,141L-4,Foundations of Modern Biology I Lab,M,14:30:00,17:30:00,Megan Cole
3456,BIOL,141-5,Foundations of Modern Biol I,TuThF,8:30:00,9:20:00,Jacobus Roode
3457,BIOL,141L-5,Foundations of Modern Biology I Lab,M,18:00:00,21:00:00,Megan Cole
3458,BIOL,141-6,Foundations of Modern Biol I,TuTh,11:30:00,12:45:00,Eladio Abreu
3459,BIOL,141L-6,Foundations of Modern Biology I Lab,M,18:00:00,21:00:00,Megan Cole
3460,BIOL,141-7,Foundations of Modern Biol I,TuTh,10:00:00,11:15:00,Skye Comstra
3461,BIOL,141L-7,Foundations of Modern Biology I Lab,M,18:00:00,21:00:00,Megan Cole
3462,BIOL,141L-8,Foundations of Modern Biology I Lab,M,18:00:00,21:00:00,Megan Cole
3463,BIOL,141L-9,Foundations of Modern Biology I Lab,Tu,8:00:00,11:00:00,Megan Cole
3464,BIOL,141L-10,Foundations of Modern Biology I Lab,Tu,8:00:00,11:00:00,Megan Cole
3465,BIOL,141L-11,Foundations of Modern Biology I Lab,Tu,8:00:00,11:00:00,Megan Cole
3466,BIOL,141L-12,Foundations of Modern Biology I Lab,Tu,14:30:00,17:30:00,Megan Cole
3467,BIOL,141L-13,Foundations of Modern Biology I Lab,Tu,14:30:00,17:30:00,Megan Cole
3468,BIOL,141L-14,Foundations of Modern Biology I Lab,Tu,14:30:00,17:30:00,Megan Cole
3469,BIOL,141L-15,Foundations of Modern Biology I Lab,Tu,14:30:00,17:30:00,Megan Cole
3470,BIOL,141L-16,Foundations of Modern Biology I Lab,Tu,18:00:00,21:00:00,Megan Cole
3471,BIOL,141L-17,Foundations of Modern Biology I Lab,Tu,18:00:00,21:00:00,Megan Cole
3472,BIOL,141L-18,Foundations of Modern Biology I Lab,Tu,18:00:00,21:00:00,Megan Cole
3473,BIOL,141L-19,Foundations of Modern Biology I Lab,Tu,18:00:00,21:00:00,Megan Cole
3474,BIOL,141L-20,Foundations of Modern Biology I Lab,W,8:00:00,11:00:00,Megan Cole
3475,BIOL,141L-21,Foundations of Modern Biology I Lab,W,8:00:00,11:00:00,Megan Cole
3476,BIOL,141L-22,Foundations of Modern Biology I Lab,W,8:00:00,11:00:00,Megan Cole
3477,BIOL,141L-23,Foundations of Modern Biology I Lab,W,14:30:00,17:30:00,Megan Cole
3478,BIOL,141L-24,Foundations of Modern Biology I Lab,W,14:30:00,17:30:00,Megan Cole
3479,BIOL,141L-25,Foundations of Modern Biology I Lab,W,14:30:00,18:30:00,Megan Cole
3480,BIOL,141L-26,Foundations of Modern Biology I Lab,W,14:30:00,17:30:00,Megan Cole
3481,BIOL,141L-27,Foundations of Modern Biology I Lab,W,18:00:00,21:00:00,Megan Cole
3482,BIOL,141L-28,Foundations of Modern Biology I Lab,W,18:00:00,21:00:00,Megan Cole
3483,BIOL,141L-29,Foundations of Modern Biology I Lab,W,18:00:00,21:00:00,Megan Cole
3484,BIOL,141L-30,Foundations of Modern Biology I Lab,Th,8:00:00,11:00:00,Megan Cole
3485,BIOL,141L-31,Foundations of Modern Biology I Lab,Th,8:00:00,11:00:00,Megan Cole
3486,BIOL,141L-32,Foundations of Modern Biology I Lab,Th,14:30:00,17:30:00,Megan Cole
3487,BIOL,141L-33,Foundations of Modern Biology I Lab,Th,14:30:00,17:30:00,Megan Cole
3488,BIOL,141L-34,Foundations of Modern Biology I Lab,Th,14:30:00,17:30:00,Megan Cole
3489,BIOL,141L-35,Foundations of Modern Biology I Lab,Th,14:30:00,17:30:00,Megan Cole
3490,BIOL,141L-36,Foundations of Modern Biology I Lab,Th,18:00:00,21:00:00,Megan Cole
3491,BIOL,141L-37,Foundations of Modern Biology I Lab,Th,18:00:00,21:00:00,Megan Cole
3492,BIOL,190-1,Freshman SeminarBiology,TuTh,13:00:00,14:15:00,Steven LHernault
3493,BIOL,190-2,Freshman SeminarBiology,TuTh,11:30:00,12:45:00,Alexander Escobar
3494,BIOL,190-3,Freshman SeminarBiology,TuTh,13:00:00,14:15:00,Eladio Abreu
