,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor,Class location
1236,ISOM,475-1101,Data Visualization,TuTh,10:00am,11:15am,Not Listed,Goizueta Foundation Ctr W330
1237,ISOM,550-2101,Data  Decision Analytics,Tu,6:30pm,9:30pm,Jeff Rummel,Online
1238,ISOM,550-2102,Data  Decision Analytics,Th,6:30pm,9:30pm,Jeff Rummel,Goizueta Business School 208
1245,NBB,190-1,Fresh Sem NBB,TuTh,10:00am,11:15am,Keith Easterling,1462 Clifton Rd 231
1246,NBB,190-2,Fresh Sem NBB,MW,10:00am,11:15am,Anthony Martin,Math & Science Center W502
1247,NBB,201-1,Foundations of Behavior,TuTh,8:30am,9:45am,Elizabeth Lonsdorf,White Hall 208
1248,NBB,280-1,Introduction to Neuroethics,MW,11:30am,12:45pm,Gillian Hue,1462 Clifton Rd 308
1249,NBB,301-1,Introduction To Neurobiology,TuTh,11:30am,12:45pm,Dieter Jaeger,1462 Clifton Rd 230
1250,NBB,301L-1,Neurobiology Data Lab,TuTh,1:00pm,2:15pm,Astrid Prinz,1462 Clifton Rd 109
1251,NBB,301-2,Introduction To Neurobiology,MW,10:00am,11:15am,Anita Devineni,1462 Clifton Rd 230
1252,NBB,302-1,Behavioral Neuroscience,MW,2:30pm,3:45pm,Alex Grizzell,1462 Clifton Rd 230
1253,NBB,370-1,Special Topics in NBB,MW,10:00am,11:15am,Alex Grizzell,1462 Clifton Rd 126
1254,NBB,370-2,Special Topics in NBB,TuTh,1:00pm,2:15pm,Stephan Hamann,New Psyc Bldg 230 (36 Eagle Ro
1255,NBB,370-3,Special Topics in NBB,MW,11:30am,12:45pm,Hillary Rodman,New Psyc Bldg 230 (36 Eagle Ro
1256,NBB,381-1,NeuroeconomicsDecisionMaking,MW,1:00pm,2:15pm,Gregory Berns,New Psyc Bldg 230 (36 Eagle Ro
1258,NBB,401W-1,Perspectives in Neuroscience  Behavior,TuTh,2:30pm,3:45pm,Paul Lennard,1462 Clifton Rd 231
1259,NBB,401W-2,Perspectives in Neuroscience  Behavior,TuTh,2:30pm,3:45pm,Robert Wyttenbach,1462 Clifton Rd 123
1260,NBB,401W-3,Perspectives in Neuroscience  Behavior,TuTh,2:30pm,3:45pm,Leah Roesch,1462 Clifton Rd 126
1261,NBB,401W-4,Perspectives in Neuroscience  Behavior,TuTh,2:30pm,3:45pm,Keith Easterling,1462 Clifton Rd 113
1262,NBB,401W-5,Perspectives in Neuroscience  Behavior,TuTh,2:30pm,3:45pm,Gillian Hue,1462 Clifton Rd 230
1263,NBB,401W-6,Perspectives in Neuroscience  Behavior,TuTh,2:30pm,3:45pm,Not Listed,1462 Clifton Rd 101
1264,NBB,401W-7,Perspectives in Neuroscience  Behavior,TuTh,2:30pm,3:45pm,Not Listed,1462 Clifton Rd 100A
1265,NBB,401W-8,Perspectives in Neuroscience  Behavior,TuTh,2:30pm,3:45pm,Not Listed,1462 Clifton Rd 100C
1266,NBB,401W-9,Perspectives in Neuroscience  Behavior,TuTh,2:30pm,3:45pm,Not Listed,Woodruff Library 214
1267,NBB,404W-1,Roots of Modern Neuroscience,W,1:00pm,3:45pm,Paul Lennard,1462 Clifton Rd 231
1268,NBB,460-1,Building Brains,TuTh,11:30am,12:45pm,Patrick Cafferty,1462 Clifton Rd 126
1269,MDP,500-1,Introductory Field Seminar,W,2:30pm,5:30pm,Hilary King,New Psyc Bldg 220 (36 Eagle Ro
1270,MDP,506-1,Research Methods I,Tu,12:30pm,3:30pm,Carrie Furman,Registrar Room Pool Requested
1272,BMI,500-1,Introduction to Ethical Data Science and Informatics,W,9:00am,11:30am,Gari Clifford,Woodruff Memorial Bldg. 4004
1273,BMI,550-1,Applied Biomedical Natural Language,TuTh,5:30pm,6:45pm,Abeed Sarker,Woodruff Memorial Bldg. 4004
1275,BMI,585-1,Topics in Biomedical Informatics,TuTh,10:00am,11:15am,Tony Pan,Woodruff Memorial Bldg. 4004
1276,RLR,700-1,Topics in Religion,Th,2:30pm,5:15pm,Scott Kugle,Callaway Center S107
1277,RLR,700-2,Topics in Religion,W,2:30pm,5:15pm,Vincent Cornell,Callaway Center S319
1278,RLR,700-3,Topics in Religion,Th,2:30pm,5:30pm,Thomas Rogers,Emerson Chemistry Bldg. E103
1279,RLR,700-4,Topics in Religion,W,9:00am,12:00pm,Steffen Loesel,Woodruff Library 874
1280,RLR,700-5,Topics in Religion,Tu,1:00pm,4:00pm,Jehu Hanciles,Carlos Hall 211
1281,RLR,700-6,Topics in Religion,Tu,1:00pm,4:00pm,Wei Wu,Callaway Center S107
1282,RLR,700-7,Topics in Religion,W,1:00pm,4:00pm,Helen Kim,Callaway Center S107
1283,RLR,700-8,Topics in Religion,W,9:00am,12:00pm,Elizabeth Bounds,Callaway Center S107
1284,RLR,700-9,Topics in Religion,Th,10:00am,1:00pm,Dianne Stewart,Candler Library 212
1286,RLHT,712R-1,Theology Of Augustine,Th,1:00pm,4:00pm,Anthony Briggman,Registrar Room Pool Requested
1288,PHIL,100-1,Basic Problems in Philosophy,MWF,10:00am,10:50am,Teelin Lucero,Callaway Center C203
1289,PHIL,100-2,Basic Problems in Philosophy,TuTh,2:30pm,3:45pm,George Yancy,Callaway Center C203
1290,PHIL,110-1,Introduction to Logic,TuWThF,10:00am,10:50am,Not Listed,North Decatur Building 155
1291,PHIL,110-2,Introduction to Logic,TuWThF,11:30am,12:20pm,Not Listed,1462 Clifton Rd 101
1292,PHIL,111-1,Existentialism  European Philosophy,MW,11:30am,12:45pm,Axelle Karera,Bowden Hall 116
1293,PHIL,115-1,Introduction to Ethics,MWF,8:30am,9:20am,Not Listed,Callaway Center N118
1294,PHIL,115-2,Introduction to Ethics,TuThF,10:00am,10:50am,Scholastique Iradukunda,Bowden Hall 116
1295,PHIL,116-1,Intro to Bioethics,MW,4:00pm,5:15pm,Ju Zhang,New Psyc Bldg 235 (36 Eagle Ro
1296,PHIL,117-1,NatureEnvrnmntSustainability,MWF,10:00am,10:50am,Jason Cabitac,North Decatur Building 109
1297,PHIL,120-1,Political Philosophy,MWF,11:30am,12:20pm,Tirza BenEzzer,North Decatur Building 109
1298,PHIL,124-1,Philosophy of Race  Ethnicity,MWF,4:00pm,4:50pm,Morinade Stevenson,Callaway Center C203
1299,PHIL,127-1,Belief Knowledge  Truth,MWF,10:00am,10:50am,Noah Gounoue,Candler Library 123
1300,PHIL,128-1,Metaphysics,MWF,4:00pm,4:50pm,Ana Ramirez,Bowden Hall 118
1301,PHIL,130-1,Intro Philosophy  Literature,TuTh,10:00am,11:15am,Fay Alafouzou,Callaway Center S108
1302,PHIL,185-1,Special Topics,TuTh,1:00pm,2:15pm,Rylie Johnson,Candler Library 114
1303,PHIL,190-1,Fresh Sem Philosophy,TuTh,10:00am,11:15am,Jeremy Bell,Callaway Center S104
1304,PHIL,200W-1,Ancient Greek  Medieval Phil,TuTh,11:30am,12:45pm,Erica Hughes,Bowden Hall 118
1305,PHIL,200W-2,Ancient Greek  Medieval Phil,MW,10:00am,11:15am,Not Listed,Callaway Center S109
